,title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4,query,rank,date,local_image
39,한샘 비스포크 책상의자 B5,https://search.shopping.naver.com/gate.nhn?id=24088054098,https://shopping-phinf.pstatic.net/main_2408805/24088054098.20200909005200.jpg,277730,,네이버,24088054098,1,한샘,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,40,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_2408805|24088054098.20200909005200.jpg
40,빠른출고 허먼밀러 국내최초 공식딜러 뉴 에어론 체어 풀 그라파이트,https://search.shopping.naver.com/gate.nhn?id=38074381681,https://shopping-phinf.pstatic.net/main_3807438/38074381681.20230219065127.jpg,2108000,,네이버,38074381681,1,허먼밀러,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,41,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_3807438|38074381681.20230219065127.jpg
41,퍼시스 CHN4311A 서울대 의자,https://search.shopping.naver.com/gate.nhn?id=16942140726,https://shopping-phinf.pstatic.net/main_1694214/16942140726.20220524154356.jpg,168950,,네이버,16942140726,1,퍼시스,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,42,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_1694214|16942140726.20220524154356.jpg
42,오토노스 친환경 메쉬 책상의자 사무용 컴퓨터 의자 C350N A타입,https://search.shopping.naver.com/gate.nhn?id=30058701618,https://shopping-phinf.pstatic.net/main_3005870/30058701618.20220125221112.jpg,151680,,네이버,30058701618,1,오토노스,오토노스,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,43,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_3005870|30058701618.20220125221112.jpg
43,허먼밀러 뉴 에어론 체어 풀 그라파이트,https://search.shopping.naver.com/gate.nhn?id=35163947034,https://shopping-phinf.pstatic.net/main_3516394/35163947034.20221116235726.jpg,1597890,,네이버,35163947034,1,허먼밀러,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,44,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_3516394|35163947034.20221116235726.jpg
44,GM체어 광명의자 게이밍 사무용 편한 컴퓨터 책상 허리받침,https://search.shopping.naver.com/gate.nhn?id=37503617916,https://shopping-phinf.pstatic.net/main_3750361/37503617916.20230217043154.jpg,220000,,네이버,37503617916,1,,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,45,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_3750361|37503617916.20230217043154.jpg
45,싯존 국산 학생 사무 공부 책상 컴퓨터의자 STC10 일반형,https://search.shopping.naver.com/gate.nhn?id=29711561618,https://shopping-phinf.pstatic.net/main_2971156/29711561618.20220318181306.jpg,53900,,네이버,29711561618,1,싯존,파파야마켓,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,46,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_2971156|29711561618.20220318181306.jpg
46,GM체어 광명의자 GMO PRO 소프트체어,https://search.shopping.naver.com/gate.nhn?id=32194624413,https://shopping-phinf.pstatic.net/main_3219462/32194624413.20230215183708.jpg,220000,,네이버,32194624413,1,,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,47,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_3219462|32194624413.20230215183708.jpg
47,시디즈 T50 AIR 에어 라이트 메쉬 의자,https://search.shopping.naver.com/gate.nhn?id=32237484034,https://shopping-phinf.pstatic.net/main_3223748/32237484034.20230129161528.jpg,187790,,네이버,32237484034,1,시디즈,시디즈,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,48,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_3223748|32237484034.20230129161528.jpg
48,명작가구 VX50J 조절팔 컴퓨터 책상의자,https://search.shopping.naver.com/gate.nhn?id=29461460439,https://shopping-phinf.pstatic.net/main_2946146/29461460439.20211217033524.jpg,111900,,네이버,29461460439,1,명작가구,명작가구,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,49,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_2946146|29461460439.20211217033524.jpg
49,체어렉스 리클라이너 침대형 오피스 책상 사무실 사무용 컴퓨터 의자 R300 PPASB,https://search.shopping.naver.com/gate.nhn?id=82988603735,https://shopping-phinf.pstatic.net/main_8298860/82988603735.jpg,159000,,체어렉스,82988603735,2,체어렉스,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,50,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_8298860|82988603735.jpg
50,시디즈 E40 셀리오스 중역의자 등받이 E400FP,https://search.shopping.naver.com/gate.nhn?id=27346662467,https://shopping-phinf.pstatic.net/main_2734666/27346662467.20210625171329.jpg,920000,,네이버,27346662467,1,시디즈,시디즈,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,51,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_2734666|27346662467.20210625171329.jpg
51,올즈 퓨어 화이트쉘 10년 보증 메쉬 편한 사무용의자 학생 책상 공부 컴퓨터 사무실의자,https://search.shopping.naver.com/gate.nhn?id=12126361661,https://shopping-phinf.pstatic.net/main_1212636/12126361661.21.jpg,139000,,AllZ,12126361661,2,올즈,샘글로벌,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,52,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_1212636|12126361661.21.jpg
52,"학생 책상 공부의자 팔걸이없는 회의용,회의실,사무실 수험생 의자",https://search.shopping.naver.com/gate.nhn?id=82448959283,https://shopping-phinf.pstatic.net/main_8244895/82448959283.9.jpg,70500,,뷰티즈체어,82448959283,2,뷰티즈체어,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,53,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_8244895|82448959283.9.jpg
53,MERRYFAIR 메리페어 와우2 체어,https://search.shopping.naver.com/gate.nhn?id=22015807959,https://shopping-phinf.pstatic.net/main_2201580/22015807959.20210312142217.jpg,419000,,네이버,22015807959,1,,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,54,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_2201580|22015807959.20210312142217.jpg
54,린백 사무용 컴퓨터 학생 책상 의자 LB221HA,https://search.shopping.naver.com/gate.nhn?id=35342157618,https://shopping-phinf.pstatic.net/main_3534215/35342157618.20221020102732.jpg,89900,,네이버,35342157618,1,린백,린백,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,55,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_3534215|35342157618.20221020102732.jpg
